Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.45	08/31/2010          	08/31/2010          	EUR	NL	EUR	99999	2.39	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.1	09/01/2010          	09/01/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.1	09/02/2010          	09/02/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.54	09/02/2010          	09/02/2010          	NZD	NZ	AUD	99999	4.19	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.45	09/02/2010          	09/02/2010          	EUR	BE	EUR	99999	2.39	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.1	09/03/2010          	09/03/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.09	09/03/2010          	09/03/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	245	09/03/2010          	09/03/2010          	JPY	JP	JPY	99999	350	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.45	09/03/2010          	09/03/2010          	EUR	NL	EUR	99999	2.39	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.54	09/03/2010          	09/03/2010          	NZD	NZ	AUD	99999	4.19	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	4	2.1	09/04/2010          	09/04/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	1.09	09/04/2010          	09/04/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	3	2.54	09/04/2010          	09/04/2010          	AUD	AU	AUD	99999	3.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.45	09/04/2010          	09/04/2010          	SEK	SE	EUR	99999	22	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.45	09/04/2010          	09/04/2010          	EUR	NL	EUR	99999	2.39	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.1	09/05/2010          	09/05/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.09	09/05/2010          	09/05/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.54	09/05/2010          	09/05/2010          	AUD	AU	AUD	99999	3.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.1	09/05/2010          	09/05/2010          	CAD	CA	CAD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	0	09/06/2010          	09/06/2010          	USD	US	USD	99999	0	CR-RW	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	6	2.1	09/06/2010          	09/06/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.1	09/06/2010          	09/06/2010          	USD	MY	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	5	2.54	09/06/2010          	09/06/2010          	AUD	AU	AUD	99999	3.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	7F	2	0	09/06/2010          	09/06/2010          	CAD	CA	CAD	99999	0	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	3	2.1	09/07/2010          	09/07/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	1.09	09/07/2010          	09/07/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	8	2.1	09/08/2010          	09/08/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	7F	1	0	09/08/2010          	09/08/2010          	GBP	GB	GBP	99999	0	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.54	09/08/2010          	09/08/2010          	AUD	AU	AUD	99999	3.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.1	09/08/2010          	09/08/2010          	CAD	CA	CAD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.54	09/08/2010          	09/08/2010          	NZD	NZ	AUD	99999	4.19	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	4	2.1	09/09/2010          	09/09/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.09	09/09/2010          	09/09/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	7F	1	0	09/09/2010          	09/09/2010          	USD	SG	USD	99999	0	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.54	09/09/2010          	09/09/2010          	AUD	AU	AUD	99999	3.99	 	
